"","transpo_mode","highest_education","travel_time","household_income","monthly_housing_total","PUMA"
"19459","Car, truck, or van","Regular high school diploma",60,176600,700,"04302"
"19460","Car, truck, or van","Regular high school diploma",15,176600,700,"04302"
"19461","Car, truck, or van","Regular high school diploma",7,176600,700,"04302"
"19462","Car, truck, or van","1 or more years of college credit, no degree",5,176600,700,"04302"
"19463","Bicycle","Master's degree",20,153000,1300,"03301"
"19464","Car, truck, or van","Bachelor's degree",15,153000,1300,"03301"
"19465","Car, truck, or van","Regular high school diploma",45,75000,1900,"00702"
"19466","Car, truck, or van","1 or more years of college credit, no degree",10,33000,800,"01600"
"19467","Car, truck, or van","1 or more years of college credit, no degree",10,80200,300,"01000"
"19468","Car, truck, or van","1 or more years of college credit, no degree",40,80200,300,"01000"
"19469","Car, truck, or van","GED or alternative credential",10,53380,780,"00400"
"19470","Car, truck, or van","Regular high school diploma",10,94860,3000,"00300"
"19471","Car, truck, or van","1 or more years of college credit, no degree",15,94860,3000,"00300"
"19472","Car, truck, or van","Master's degree",30,244000,1700,"04901"
"19473","Car, truck, or van","Bachelor's degree",15,244000,1700,"04901"
"19474","Car, truck, or van","Master's degree",45,278000,3000,"00702"
"19475","Car, truck, or van","Master's degree",45,278000,3000,"00702"
"19476","Car, truck, or van","GED or alternative credential",10,50100,630,"01902"
"19477","Car, truck, or van","Master's degree",35,147000,1300,"03400"
"19478","Car, truck, or van","1 or more years of college credit, no degree",45,19000,1600,"00508"
"19479","Car, truck, or van","Master's degree",20,35960,1880,"00200"
"19480","Car, truck, or van","Associate's degree",10,35960,1880,"00200"
"19481","Car, truck, or van","Doctorate degree",25,120000,1600,"01000"
"19482","Car, truck, or van","Doctorate degree",20,36000,2400,"00505"
"19483","Car, truck, or van","Regular high school diploma",45,124400,2000,"04000"
"19484","Car, truck, or van","Grade 11",45,124400,2000,"04000"
"19485","Car, truck, or van","Grade 11",25,124400,2000,"04000"
"19486","Car, truck, or van","Associate's degree",50,110600,1800,"00701"
"19487","Car, truck, or van","Bachelor's degree",20,110600,1800,"00701"
"19488","Subway or elevated","Bachelor's degree",35,360000,2050,"00507"
"19489","Subway or elevated","Master's degree",35,360000,2050,"00507"
"19490","Car, truck, or van","Master's degree",90,223300,1600,"00300"
"19491","Car, truck, or van","Associate's degree",20,223300,1600,"00300"
"19492","Car, truck, or van","Associate's degree",20,223300,1600,"00300"
"19493","Car, truck, or van","Master's degree",45,222600,3900,"03500"
"19494","Car, truck, or van","Professional degree beyond a bachelor's degree",70,305000,2600,"01000"
"19495","Car, truck, or van","Master's degree",30,305000,2600,"01000"
"19496","Car, truck, or van","Bachelor's degree",10,223500,2000,"03601"
"19497","Subway or elevated","Bachelor's degree",20,223500,2000,"03601"
"19498","Car, truck, or van","Bachelor's degree",25,223500,2000,"03601"
"19499","Car, truck, or van","Grade 10",15,223500,2000,"03601"
"19500","Car, truck, or van","Associate's degree",25,144000,1400,"00302"
"19501","Car, truck, or van","Bachelor's degree",25,144000,1400,"00302"
"19502","Walked","Bachelor's degree",15,50000,2900,"03301"
"19503","Car, truck, or van","Regular high school diploma",2,80000,910,"00301"
"19504","Car, truck, or van","1 or more years of college credit, no degree",20,30000,900,"01900"
"19505","Railroad","Bachelor's degree",5,138400,2800,"02800"
"19506","Car, truck, or van","Regular high school diploma",40,138400,2800,"02800"
"19507","Railroad","No schooling completed",5,138400,2800,"02800"
"19508","Car, truck, or van","Regular high school diploma",80,105000,1900,"00302"
"19509","Car, truck, or van","1 or more years of college credit, no degree",4,105000,1900,"00302"
"19510","Car, truck, or van","Grade 11",10,17900,80,"00300"
"19511","Subway or elevated","Bachelor's degree",40,60700,2700,"03304"
"19512","Bus or trolley bus","1 or more years of college credit, no degree",60,60700,2700,"03304"
"19513","Car, truck, or van","Associate's degree",15,113000,900,"00703"
"19514","Car, truck, or van","Some college, but less than 1 year",10,113000,900,"00703"
"19515","Car, truck, or van","Regular high school diploma",5,78600,1400,"04000"
"19516","Car, truck, or van","Associate's degree",40,745000,1700,"03602"
"19517","Car, truck, or van","1 or more years of college credit, no degree",30,745000,1700,"03602"
"19518","Car, truck, or van","Bachelor's degree",45,745000,1700,"03602"
"19519","Car, truck, or van","Bachelor's degree",20,50000,1000,"03603"
"19520","Car, truck, or van","Master's degree",20,57000,1100,"04901"
"19521","Car, truck, or van","Regular high school diploma",10,184000,1800,"03306"
"19522","Car, truck, or van","Grade 11",40,184000,1800,"03306"
"19523","Car, truck, or van","Master's degree",30,184000,1800,"03306"
"19524","Car, truck, or van","Bachelor's degree",30,40000,1500,"00200"
"19525","Car, truck, or van","Bachelor's degree",30,40000,1500,"00200"
"19526","Bus or trolley bus","Regular high school diploma",30,27400,600,"00702"
"19527","Subway or elevated","Master's degree",20,140000,3000,"00506"
"19528","Taxicab","Master's degree",30,140000,3000,"00506"
"19529","Car, truck, or van","1 or more years of college credit, no degree",20,115000,2000,"01600"
"19530","Car, truck, or van","Associate's degree",45,115000,2000,"01600"
"19531","Car, truck, or van","Master's degree",3,132770,2100,"00703"
"19532","Bus or trolley bus","1 or more years of college credit, no degree",10,132770,2100,"00703"
"19533","Car, truck, or van","Bachelor's degree",60,52300,1900,"04901"
"19534","Car, truck, or van","Regular high school diploma",15,52300,1900,"04901"
"19535","Car, truck, or van","Bachelor's degree",25,110000,1800,"00508"
"19536","Car, truck, or van","GED or alternative credential",144,110000,1800,"00508"
"19537","Car, truck, or van","Master's degree",15,141900,1600,"01902"
"19538","Car, truck, or van","Bachelor's degree",15,141900,1600,"01902"
"19539","Subway or elevated","Bachelor's degree",50,141900,1600,"01902"
"19540","Car, truck, or van","1 or more years of college credit, no degree",30,81200,1500,"00701"
"19541","Car, truck, or van","GED or alternative credential",30,81200,1500,"00701"
"19542","Car, truck, or van","Associate's degree",20,167000,1000,"00302"
"19543","Car, truck, or van","Bachelor's degree",90,167000,1000,"00302"
"19544","Car, truck, or van","Master's degree",10,81200,700,"01600"
"19545","Car, truck, or van","Bachelor's degree",2,81200,700,"01600"
"19546","Car, truck, or van","Master's degree",50,63000,1000,"04903"
"19547","Car, truck, or van","Bachelor's degree",15,63000,1000,"04903"
"19548","Subway or elevated","Grade 5",50,30000,1500,"03302"
"19549","Car, truck, or van","Doctorate degree",20,300030,1700,"00506"
"19550","Car, truck, or van","GED or alternative credential",40,80500,2000,"00704"
"19551","Car, truck, or van","1 or more years of college credit, no degree",80,80500,2000,"00704"
"19552","Car, truck, or van","Bachelor's degree",2,40600,3000,"02400"
"19553","Car, truck, or van","12th grade - no diploma",40,40600,3000,"02400"
"19554","Car, truck, or van","Bachelor's degree",2,165000,1000,"03601"
"19555","Railroad","Bachelor's degree",60,165000,1000,"03601"
"19556","Car, truck, or van","Doctorate degree",30,44600,2500,"00505"
"19557","Car, truck, or van","Bachelor's degree",26,49000,700,"04800"
"19558","Car, truck, or van","Master's degree",75,91000,1500,"04000"
"19559","Car, truck, or van","GED or alternative credential",55,51000,900,"00200"
"19560","Car, truck, or van","Bachelor's degree",25,51000,900,"00200"
"19561","Car, truck, or van","Bachelor's degree",60,190000,3500,"04903"
"19562","Car, truck, or van","Bachelor's degree",90,190000,3500,"04903"
"19563","Car, truck, or van","Master's degree",5,230000,2900,"01000"
"19564","Car, truck, or van","Master's degree",10,230000,2900,"01000"
"19565","Car, truck, or van","1 or more years of college credit, no degree",45,110000,1050,"00100"
"19566","Car, truck, or van","Regular high school diploma",30,151300,2100,"04903"
"19567","Car, truck, or van","1 or more years of college credit, no degree",15,151300,2100,"04903"
"19568","Walked","Bachelor's degree",12,46400,1000,"00506"
"19569","Car, truck, or van","1 or more years of college credit, no degree",30,73000,2200,"00501"
"19570","Car, truck, or van","Doctorate degree",25,170000,2800,"03400"
"19571","Car, truck, or van","Master's degree",10,59000,950,"01901"
"19572","Car, truck, or van","Master's degree",60,85000,1400,"00301"
"19573","Car, truck, or van","Bachelor's degree",35,62000,1300,"00701"
"19574","Subway or elevated","Master's degree",55,153020,2400,"03602"
"19575","Car, truck, or van","Bachelor's degree",7,153020,2400,"03602"
"19576","Car, truck, or van","GED or alternative credential",30,33800,1800,"00200"
"19577","Car, truck, or van","Master's degree",30,620000,9900,"00503"
"19578","Car, truck, or van","1 or more years of college credit, no degree",30,33000,960,"01901"
"19579","Subway or elevated","Doctorate degree",45,129000,2300,"00505"
"19580","Car, truck, or van","Doctorate degree",30,129000,2300,"00505"
"19581","Car, truck, or van","Bachelor's degree",10,130030,2880,"00301"
"19582","Car, truck, or van","1 or more years of college credit, no degree",30,130030,2880,"00301"
"19583","Car, truck, or van","Grade 11",5,130030,2880,"00301"
"19584","Car, truck, or van","Grade 10",20,73800,1360,"00100"
"19585","Car, truck, or van","Regular high school diploma",40,73800,1360,"00100"
"19586","Other method","Master's degree",50,79500,1600,"04800"
"19587","Car, truck, or van","Bachelor's degree",20,205000,3500,"04903"
"19588","Car, truck, or van","Master's degree",20,205000,3500,"04903"
"19589","Car, truck, or van","1 or more years of college credit, no degree",25,39100,2700,"03603"
"19590","Car, truck, or van","Regular high school diploma",30,39100,2700,"03603"
"19591","Car, truck, or van","1 or more years of college credit, no degree",25,39100,2700,"03603"
"19592","Car, truck, or van","Regular high school diploma",30,127000,860,"04902"
"19593","Car, truck, or van","Regular high school diploma",20,127000,860,"04902"
"19594","Car, truck, or van","Regular high school diploma",30,127000,860,"04902"
"19595","Car, truck, or van","Associate's degree",10,165900,1600,"00301"
"19596","Car, truck, or van","GED or alternative credential",30,165900,1600,"00301"
"19597","Car, truck, or van","Regular high school diploma",50,165900,1600,"00301"
"19598","Railroad","Grade 10",35,165900,1600,"00301"
"19599","Car, truck, or van","Associate's degree",20,46000,1100,"00100"
"19600","Car, truck, or van","Master's degree",10,222000,300,"00504"
"19601","Car, truck, or van","Bachelor's degree",60,222000,300,"00504"
"19602","Car, truck, or van","1 or more years of college credit, no degree",17,69000,2500,"04902"
"19603","Car, truck, or van","Doctorate degree",25,159200,2400,"00508"
"19604","Car, truck, or van","Bachelor's degree",45,65180,1100,"00200"
"19605","Car, truck, or van","Master's degree",15,77000,990,"01902"
"19606","Walked","Bachelor's degree",15,1e+05,2700,"00507"
"19607","Bicycle","Master's degree",10,1e+05,2700,"00507"
"19608","Car, truck, or van","Bachelor's degree",30,30800,2800,"03400"
"19609","Bus or trolley bus","Some college, but less than 1 year",45,103000,200,"03602"
"19610","Car, truck, or van","Associate's degree",25,103000,200,"03602"
"19611","Car, truck, or van","Some college, but less than 1 year",30,103000,200,"03602"
"19612","Car, truck, or van","Regular high school diploma",60,123000,3800,"03601"
"19613","Car, truck, or van","Regular high school diploma",60,123000,3800,"03601"
"19614","Car, truck, or van","Bachelor's degree",15,34000,960,"04800"
"19615","Car, truck, or van","Bachelor's degree",15,190020,1100,"01600"
"19616","Car, truck, or van","Master's degree",45,190020,1100,"01600"
"19617","Car, truck, or van","Master's degree",10,2e+05,2650,"04302"
"19618","Railroad","Associate's degree",90,2e+05,2650,"04302"
"19619","Car, truck, or van","Bachelor's degree",60,450100,2600,"00703"
"19620","Car, truck, or van","1 or more years of college credit, no degree",75,450100,2600,"00703"
"19621","Car, truck, or van","Bachelor's degree",80,180000,1900,"00304"
"19622","Car, truck, or van","Bachelor's degree",35,180000,1900,"00304"
"19623","Subway or elevated","Some college, but less than 1 year",40,208430,1800,"03900"
"19624","Subway or elevated","Master's degree",40,335000,2500,"00507"
"19625","Car, truck, or van","Bachelor's degree",12,335000,2500,"00507"
"19626","Car, truck, or van","Some college, but less than 1 year",10,120000,1200,"01900"
"19627","Car, truck, or van","Regular high school diploma",20,120000,1200,"01900"
"19628","Car, truck, or van","Regular high school diploma",20,120000,1200,"01900"
"19629","Car, truck, or van","Regular high school diploma",5,86500,1300,"04903"
"19630","Car, truck, or van","Associate's degree",10,86500,1300,"04903"
"19631","Car, truck, or van","Regular high school diploma",45,36000,4000,"03400"
"19632","Car, truck, or van","Master's degree",45,621000,1000,"03500"
"19633","Car, truck, or van","Regular high school diploma",10,135000,2400,"01300"
"19634","Car, truck, or van","Associate's degree",25,135000,2400,"01300"
"19635","Car, truck, or van","Some college, but less than 1 year",15,1e+05,2600,"00704"
"19636","Car, truck, or van","Bachelor's degree",20,191000,1200,"03602"
"19637","Car, truck, or van","1 or more years of college credit, no degree",30,191000,1200,"03602"
"19638","Car, truck, or van","No schooling completed",15,191000,1200,"03602"
"19639","Car, truck, or van","Associate's degree",30,140000,1400,"00505"
"19640","Car, truck, or van","1 or more years of college credit, no degree",30,75000,3000,"00503"
"19641","Walked","1 or more years of college credit, no degree",20,70000,1100,"03301"
"19642","Walked","Associate's degree",20,70000,1100,"03301"
"19643","Car, truck, or van","1 or more years of college credit, no degree",30,50000,1200,"00502"
"19644","Car, truck, or van","Associate's degree",30,19000,850,"03304"
"19645","Car, truck, or van","12th grade - no diploma",15,19000,850,"03304"
"19646","Bus or trolley bus","Bachelor's degree",45,173600,2000,"03603"
"19647","Car, truck, or van","1 or more years of college credit, no degree",15,112000,700,"04700"
"19648","Walked","Doctorate degree",25,263390,2600,"03304"
"19649","Car, truck, or van","Doctorate degree",15,263390,2600,"03304"
"19650","Car, truck, or van","Doctorate degree",75,214460,2000,"01400"
"19651","Car, truck, or van","Doctorate degree",25,214460,2000,"01400"
"19652","Car, truck, or van","Bachelor's degree",18,45600,2000,"02800"
"19653","Car, truck, or van","Regular high school diploma",25,105000,680,"04500"
"19654","Bus or trolley bus","Some college, but less than 1 year",90,105000,680,"04500"
"19655","Car, truck, or van","Regular high school diploma",25,135300,1300,"01000"
"19656","Car, truck, or van","Master's degree",2,135300,1300,"01000"
"19657","Car, truck, or van","Bachelor's degree",10,135300,1300,"01000"
"19658","Car, truck, or van","Some college, but less than 1 year",5,135300,1300,"01000"
"19659","Other method","1 or more years of college credit, no degree",20,47220,1600,"00701"
"19660","Taxicab","Regular high school diploma",15,47220,1600,"00701"
"19661","Car, truck, or van","Bachelor's degree",40,8000,1500,"00505"
"19662","Car, truck, or van","Bachelor's degree",10,146040,2950,"01000"
"19663","Car, truck, or van","Master's degree",60,146040,2950,"01000"
"19664","Subway or elevated","Bachelor's degree",35,209000,3000,"03305"
"19665","Walked","Master's degree",25,209000,3000,"03305"
"19666","Car, truck, or van","Bachelor's degree",35,168600,2300,"00302"
"19667","Car, truck, or van","Master's degree",30,168600,2300,"00302"
"19668","Car, truck, or van","1 or more years of college credit, no degree",20,174500,1500,"00704"
"19669","Car, truck, or van","GED or alternative credential",30,174500,1500,"00704"
"19670","Car, truck, or van","Regular high school diploma",30,174500,1500,"00704"
"19671","Car, truck, or van","1 or more years of college credit, no degree",30,31000,1000,"00200"
"19672","Car, truck, or van","Grade 11",10,82000,3360,"03900"
"19673","Car, truck, or van","Bachelor's degree",20,1e+05,1800,"00504"
"19674","Car, truck, or van","Associate's degree",15,101000,1100,"00301"
"19675","Car, truck, or van","Associate's degree",10,101000,1100,"00301"
"19676","Car, truck, or van","Bachelor's degree",30,46800,1000,"01900"
"19677","Car, truck, or van","Grade 8",30,46800,1000,"01900"
"19678","Car, truck, or van","Master's degree",40,113600,300,"04903"
"19679","Car, truck, or van","Master's degree",15,344650,3500,"02400"
"19680","Car, truck, or van","Some college, but less than 1 year",30,111600,670,"03306"
"19681","Car, truck, or van","Doctorate degree",10,470800,3700,"03500"
"19682","Bus or trolley bus","Doctorate degree",60,470800,3700,"03500"
"19683","Car, truck, or van","1 or more years of college credit, no degree",15,229800,1000,"01600"
"19684","Car, truck, or van","Professional degree beyond a bachelor's degree",20,229800,1000,"01600"
"19685","Car, truck, or van","1 or more years of college credit, no degree",15,229800,1000,"01600"
"19686","Car, truck, or van","Regular high school diploma",15,127800,2200,"04000"
"19687","Car, truck, or van","1 or more years of college credit, no degree",10,127800,2200,"04000"
"19688","Car, truck, or van","Bachelor's degree",35,36000,1000,"00100"
"19689","Car, truck, or van","Regular high school diploma",25,39000,170,"01902"
"19690","Subway or elevated","Bachelor's degree",30,40000,1300,"03303"
"19691","Car, truck, or van","1 or more years of college credit, no degree",5,47000,1300,"00302"
"19692","Car, truck, or van","Associate's degree",15,50000,600,"01901"
"19693","Car, truck, or van","Bachelor's degree",15,204000,980,"01901"
"19694","Bus or trolley bus","Professional degree beyond a bachelor's degree",40,360000,6240,"03400"
"19695","Car, truck, or van","Bachelor's degree",15,360000,6240,"03400"
"19696","Car, truck, or van","Bachelor's degree",40,263800,4300,"00503"
"19697","Car, truck, or van","Master's degree",10,123000,2000,"00504"
"19698","Car, truck, or van","Regular high school diploma",15,40000,600,"04500"
"19699","Car, truck, or van","Bachelor's degree",10,109000,1900,"02800"
"19700","Car, truck, or van","Bachelor's degree",60,76700,2400,"00300"
"19701","Railroad","Associate's degree",45,152500,2400,"00504"
"19702","Car, truck, or van","Bachelor's degree",5,152500,2400,"00504"
"19703","Car, truck, or van","Bachelor's degree",15,70300,880,"03602"
"19704","Car, truck, or van","Bachelor's degree",60,152000,4600,"00702"
"19705","Car, truck, or van","Bachelor's degree",50,152000,4600,"00702"
"19706","Railroad","Master's degree",76,34000,3180,"00504"
"19707","Car, truck, or van","1 or more years of college credit, no degree",15,34000,3180,"00504"
"19708","Car, truck, or van","Some college, but less than 1 year",20,49400,900,"00701"
"19709","Car, truck, or van","1 or more years of college credit, no degree",30,187000,1680,"01600"
"19710","Car, truck, or van","Bachelor's degree",60,187000,1680,"01600"
"19711","Car, truck, or van","Master's degree",20,130000,2000,"00507"
"19712","Walked","Master's degree",30,130000,2000,"00507"
"19713","Car, truck, or van","1 or more years of college credit, no degree",45,60000,800,"04500"
"19714","Other method","Bachelor's degree",60,240000,3100,"03302"
"19715","Walked","Master's degree",30,240000,3100,"03302"
"19716","Car, truck, or van","Bachelor's degree",20,159000,2100,"00508"
"19717","Car, truck, or van","Bachelor's degree",40,159000,2100,"00508"
"19718","Walked","Bachelor's degree",30,210000,2500,"00507"
"19719","Car, truck, or van","Master's degree",30,210000,2500,"00507"
"19720","Car, truck, or van","Bachelor's degree",59,25000,1300,"01600"
"19721","Car, truck, or van","Master's degree",45,150000,3100,"02800"
"19722","Subway or elevated","Regular high school diploma",75,114500,2000,"02800"
"19723","Car, truck, or van","Bachelor's degree",60,114500,2000,"02800"
"19724","Bus or trolley bus","1 or more years of college credit, no degree",60,114500,2000,"02800"
"19725","Car, truck, or van","Master's degree",20,1e+05,880,"03304"
"19726","Car, truck, or van","Regular high school diploma",25,26200,1800,"04303"
"19727","Car, truck, or van","Master's degree",40,18160,1200,"00503"
"19728","Car, truck, or van","Bachelor's degree",65,143000,2300,"03306"
"19729","Car, truck, or van","Regular high school diploma",10,143000,2300,"03306"
"19730","Car, truck, or van","1 or more years of college credit, no degree",7,30000,590,"01901"
"19731","Car, truck, or van","Bachelor's degree",20,88200,1500,"01600"
"19732","Car, truck, or van","Grade 8",40,51010,500,"00504"
"19733","Car, truck, or van","Master's degree",50,113630,1500,"04000"
"19734","Car, truck, or van","1 or more years of college credit, no degree",90,175000,850,"01600"
"19735","Car, truck, or van","GED or alternative credential",30,87000,600,"00502"
"19736","Car, truck, or van","Bachelor's degree",30,87000,600,"00502"
"19737","Walked","1 or more years of college credit, no degree",30,87000,600,"00502"
"19738","Car, truck, or van","Bachelor's degree",30,65000,20,"00702"
"19739","Car, truck, or van","Regular high school diploma",30,65000,20,"00702"
"19740","Car, truck, or van","Master's degree",60,95100,1000,"04901"
"19741","Car, truck, or van","Bachelor's degree",30,95100,1000,"04901"
"19742","Car, truck, or van","Associate's degree",60,166000,2600,"01300"
"19743","Car, truck, or van","Master's degree",60,166000,2600,"01300"
"19744","Car, truck, or van","Bachelor's degree",60,306000,570,"00703"
"19745","Car, truck, or van","Associate's degree",3,306000,570,"00703"
"19746","Car, truck, or van","1 or more years of college credit, no degree",60,182000,2000,"00300"
"19747","Car, truck, or van","1 or more years of college credit, no degree",20,182000,2000,"00300"
"19748","Railroad","Master's degree",60,160500,2800,"04903"
"19749","Car, truck, or van","Bachelor's degree",30,206000,2000,"01300"
"19750","Car, truck, or van","Master's degree",30,206000,2000,"01300"
"19751","Car, truck, or van","Bachelor's degree",10,70000,850,"01901"
"19752","Car, truck, or van","Master's degree",20,145000,1800,"00400"
"19753","Car, truck, or van","Regular high school diploma",10,280590,1400,"04800"
"19754","Car, truck, or van","Regular high school diploma",45,280590,1400,"04800"
"19755","Car, truck, or van","1 or more years of college credit, no degree",10,280590,1400,"04800"
"19756","Car, truck, or van","1 or more years of college credit, no degree",35,105000,2210,"01400"
"19757","Car, truck, or van","Regular high school diploma",20,76360,660,"00200"
"19758","Car, truck, or van","1 or more years of college credit, no degree",10,59300,190,"00701"
"19759","Car, truck, or van","Master's degree",5,184000,1800,"00301"
"19760","Car, truck, or van","Bachelor's degree",45,184000,1800,"00301"
"19761","Walked","Master's degree",15,89000,1200,"03303"
"19762","Car, truck, or van","Bachelor's degree",90,89000,1200,"03303"
"19763","Car, truck, or van","1 or more years of college credit, no degree",20,119300,1100,"04301"
"19764","Subway or elevated","Bachelor's degree",15,145000,1800,"03301"
"19765","Walked","Bachelor's degree",10,145000,1800,"03301"
"19766","Car, truck, or van","Regular high school diploma",60,43600,2800,"03400"
"19767","Car, truck, or van","Master's degree",7,32000,600,"04303"
"19768","Car, truck, or van","Associate's degree",5,163000,700,"01902"
"19769","Car, truck, or van","Associate's degree",5,163000,700,"01902"
"19770","Car, truck, or van","Regular high school diploma",30,40000,900,"00300"
"19771","Car, truck, or van","Associate's degree",15,130000,1500,"00702"
"19772","Car, truck, or van","Regular high school diploma",45,130000,1500,"00702"
"19773","Car, truck, or van","GED or alternative credential",10,35000,1000,"01901"
"19774","Car, truck, or van","Bachelor's degree",4,50600,1300,"00701"
"19775","Car, truck, or van","1 or more years of college credit, no degree",60,620000,1500,"00501"
"19776","Car, truck, or van","Doctorate degree",10,252000,3100,"00505"
"19777","Car, truck, or van","Bachelor's degree",30,252000,3100,"00505"
"19778","Subway or elevated","Bachelor's degree",60,161000,1800,"03305"
"19779","Subway or elevated","Regular high school diploma",30,161000,1800,"03305"
"19780","Car, truck, or van","Bachelor's degree",15,161000,1800,"03305"
"19781","Car, truck, or van","Bachelor's degree",45,145100,3000,"00703"
"19782","Car, truck, or van","Bachelor's degree",60,145100,3000,"00703"
"19783","Car, truck, or van","Bachelor's degree",60,90000,2100,"00200"
"19784","Car, truck, or van","Bachelor's degree",1,113000,3050,"01400"
"19785","Car, truck, or van","Master's degree",30,113000,3050,"01400"
"19786","Car, truck, or van","Bachelor's degree",15,51000,900,"03306"
"19787","Car, truck, or van","Regular high school diploma",15,51000,900,"03306"
"19788","Car, truck, or van","Some college, but less than 1 year",15,178800,2300,"00508"
"19789","Car, truck, or van","Regular high school diploma",10,178800,2300,"00508"
"19790","Car, truck, or van","Grade 11",15,93900,2400,"03303"
"19791","Car, truck, or van","Regular high school diploma",30,93900,2400,"03303"
"19792","Bus or trolley bus","Grade 11",30,93900,2400,"03303"
"19793","Car, truck, or van","Doctorate degree",144,290000,1500,"00300"
"19794","Car, truck, or van","Associate's degree",12,290000,1500,"00300"
"19795","Car, truck, or van","Bachelor's degree",144,118500,1300,"01902"
"19796","Car, truck, or van","Bachelor's degree",10,118500,1300,"01902"
"19797","Car, truck, or van","Bachelor's degree",20,135150,1500,"00505"
"19798","Car, truck, or van","Bachelor's degree",30,135150,1500,"00505"
"19799","Car, truck, or van","1 or more years of college credit, no degree",15,56000,2500,"03305"
"19800","Car, truck, or van","Bachelor's degree",5,152000,1110,"04303"
"19801","Railroad","1 or more years of college credit, no degree",60,152000,1110,"04303"
"19802","Other method","Master's degree",20,159000,1800,"04000"
"19803","Car, truck, or van","1 or more years of college credit, no degree",60,159000,1800,"04000"
"19804","Car, truck, or van","Bachelor's degree",15,159000,1800,"04000"
"19805","Car, truck, or van","Bachelor's degree",10,72000,1000,"00503"
"19806","Car, truck, or van","Bachelor's degree",15,105000,1800,"00304"
"19807","Car, truck, or van","Regular high school diploma",15,53000,1300,"04800"
"19808","Car, truck, or van","Master's degree",20,89000,1200,"01900"
"19809","Car, truck, or van","Master's degree",30,89000,1200,"01900"
"19810","Car, truck, or van","Associate's degree",5,89000,1600,"04200"
"19811","Car, truck, or van","Some college, but less than 1 year",20,89000,1600,"04200"
"19812","Walked","1 or more years of college credit, no degree",20,43820,650,"04302"
"19813","Walked","1 or more years of college credit, no degree",20,43820,650,"04302"
"19814","Car, truck, or van","Bachelor's degree",35,103600,1200,"03303"
"19815","Car, truck, or van","1 or more years of college credit, no degree",20,150800,620,"00506"
"19816","Bus or trolley bus","Regular high school diploma",90,150800,620,"00506"
"19817","Walked","Doctorate degree",8,232000,1150,"00200"
"19818","Bicycle","Doctorate degree",5,232000,1150,"00200"
"19819","Car, truck, or van","Bachelor's degree",8,153000,1600,"04302"
"19820","Car, truck, or van","Bachelor's degree",15,153000,1600,"04302"
"19821","Car, truck, or van","Bachelor's degree",15,34500,1570,"01600"
"19822","Car, truck, or van","Regular high school diploma",35,34500,1570,"01600"
"19823","Walked","Professional degree beyond a bachelor's degree",25,76800,650,"03302"
"19824","Walked","Bachelor's degree",15,76800,650,"03302"
"19825","Bus or trolley bus","Master's degree",35,112000,1300,"03400"
"19826","Car, truck, or van","1 or more years of college credit, no degree",20,65000,1400,"03304"
"19827","Bus or trolley bus","Regular high school diploma",60,65000,1400,"03304"
"19828","Walked","Regular high school diploma",15,65000,1400,"03304"
"19829","Walked","Bachelor's degree",32,1e+05,1700,"03302"
"19830","Subway or elevated","Associate's degree",50,150000,2400,"03603"
"19831","Subway or elevated","Master's degree",60,150000,2400,"03603"
"19832","Car, truck, or van","Master's degree",10,129860,2000,"00200"
"19833","Car, truck, or van","1 or more years of college credit, no degree",144,129860,2000,"00200"
"19834","Car, truck, or van","Some college, but less than 1 year",35,91000,900,"01600"
"19835","Car, truck, or van","1 or more years of college credit, no degree",2,91000,900,"01600"
"19836","Car, truck, or van","Regular high school diploma",15,82000,500,"00200"
"19837","Railroad","Bachelor's degree",75,130000,2600,"03601"
"19838","Car, truck, or van","1 or more years of college credit, no degree",5,119000,950,"00300"
"19839","Car, truck, or van","Regular high school diploma",10,119000,950,"00300"
"19840","Bus or trolley bus","Bachelor's degree",144,127000,1000,"04700"
"19841","Car, truck, or van","Regular high school diploma",20,127000,1000,"04700"
"19842","Car, truck, or van","Some college, but less than 1 year",35,48000,1800,"00501"
"19843","Car, truck, or van","Bachelor's degree",50,48000,1800,"00501"
"19844","Subway or elevated","Master's degree",90,73180,1600,"00703"
"19845","Car, truck, or van","Master's degree",15,70000,3300,"00703"
"19846","Car, truck, or van","Regular high school diploma",40,105000,1500,"00502"
"19847","Car, truck, or van","Regular high school diploma",15,105000,1500,"00502"
"19848","Car, truck, or van","Regular high school diploma",60,105000,1500,"00502"
"19849","Car, truck, or van","Regular high school diploma",20,105000,1500,"00502"
"19850","Car, truck, or van","Master's degree",15,49100,1700,"00702"
"19851","Car, truck, or van","Associate's degree",45,49100,1700,"00702"
"19852","Car, truck, or van","1 or more years of college credit, no degree",40,137630,1500,"00702"
"19853","Car, truck, or van","Master's degree",5,137630,1500,"00702"
"19854","Car, truck, or van","Bachelor's degree",10,137630,1500,"00702"
"19855","Car, truck, or van","Master's degree",60,101300,1100,"00703"
"19856","Car, truck, or van","Bachelor's degree",45,211900,2700,"02800"
"19857","Car, truck, or van","Bachelor's degree",5,211900,2700,"02800"
"19858","Car, truck, or van","Bachelor's degree",40,80600,1300,"01600"
"19859","Car, truck, or van","Bachelor's degree",15,80600,1300,"01600"
"19860","Car, truck, or van","Associate's degree",15,66000,710,"03900"
"19861","Car, truck, or van","Regular high school diploma",25,64000,950,"00300"
"19862","Car, truck, or van","1 or more years of college credit, no degree",20,64000,950,"00300"
